ts_norm1 G1 Narrow {Start Time of Norm. Analysis} [Europe/London],Δt_norm1 G1 Narrow/s {Duration of Norm. Analysis},U_trms1 G2 Wide/V {RMS of U},U_trms2 G2 Wide/V {RMS of U},U_trms3 G2 Wide/V {RMS of U},I_trms1 G2 Wide/A {RMS of I},I_trms2 G2 Wide/A {RMS of I},I_trms3 G2 Wide/A {RMS of I},I_dc1 G1 Wide/A {DC Value of I},U_dc1 G1 Wide/V {DC Value of U},P_AC_{scr},P_DC_{scr},P_mech_{scr},SPEED_{scr},Speed,Torque_{scr},Loss_inv_{scr},Loss_mtr_{scr},Loss_sys_{scr},Eff_sys_{scr},Eff_mtr_{scr}
44301.8,0.02,34.72,34.73,34.39,165.86,156.97,155.83,-16.87,223.21,-4664.04,-3765.68,-5594.83,0,-496.34,107.64,898.36,930.79,1829.15,67.31,83.36
44301.8,0.02,34.83,34.85,34.35,166.39,156.61,155.54,-16.79,223.67,-4674.84,-3756.51,-5544.44,0,-496.13,106.72,918.33,869.6,1787.94,67.75,84.32
44301.8,0.02,34.98,34.93,34.53,165.02,157.09,156.65,-16.77,224.16,-4689.53,-3760.08,-5622.33,0,-496.54,108.13,929.45,932.8,1862.25,66.88,83.41
44301.8,0.02,34.93,35.15,34.52,166.13,156.81,155.71,-16.74,224.4,-4677.71,-3757.09,-5513.98,0,-496.25,106.11,920.62,836.27,1756.89,68.14,84.83
44301.8,0.02,34.79,35.08,34.47,166.24,156.99,155.39,-16.73,224.43,-4698.3,-3755.53,-5642.74,0,-496.2,108.59,942.78,944.44,1887.21,66.56,83.26
44301.8,0.02,34.94,34.95,34.52,164.97,157.45,156.16,-16.82,224.2,-4711.17,-3772.18,-5680.48,0,-505.73,107.26,938.98,969.31,1908.3,66.41,82.94
44301.8,0.02,34.82,35.14,34.3,165.95,157.38,155.27,-16.82,223.77,-4676.65,-3764.55,-5595.94,0,-496.98,107.52,912.1,919.29,1831.39,67.27,83.57
44301.8,0.02,34.86,35.11,34.2,166.29,157.61,154.75,-16.83,223.19,-4683.03,-3756.35,-5621,0,-497.18,107.96,926.69,937.97,1864.65,66.83,83.31
44301.8,0.02,34.74,35.01,34.37,165.82,158.26,154.93,-16.89,222.67,-4703.84,-3762.51,-5558.99,0,-496.68,106.88,941.33,855.15,1796.49,67.68,84.62
44301.8,0.02,34.84,35.06,34.21,165.84,158.17,154.68,-16.89,222.34,-4692.82,-3754.69,-5655.73,0,-497.1,108.65,938.13,962.91,1901.04,66.39,82.97
44301.8,0.02,35.01,35.05,34.17,166.93,157.31,154.53,-16.95,222.2,-4717.07,-3767.26,-5549.23,0,-497.28,106.56,949.81,832.16,1781.97,67.89,85
44301.8,0.02,34.82,35.03,34.41,166.86,157.18,154.83,-16.89,222.27,-4681.91,-3754.52,-5616.52,0,-496.19,108.09,927.39,934.61,1862,66.85,83.36
44301.8,0.02,34.94,34.85,34.24,166.82,158.69,154.41,-16.87,222.6,-4705.21,-3756.46,-5587.52,0,-496.3,107.51,948.75,882.31,1831.06,67.23,84.21
44301.8,0.02,34.82,35.03,34.28,167.96,157.77,153.96,-16.83,223.11,-4716.53,-3755.26,-5493.5,0,-495.96,105.77,961.27,776.98,1738.24,68.36,85.86
44301.8,0.02,35.1,34.97,34.4,167.11,156.39,155.17,-16.83,223.49,-4677.94,-3762.21,-5621.57,0,-496.11,108.21,915.73,943.64,1859.36,66.92,83.21
44301.8,0.02,34.8,35.22,34.23,165.95,159.17,153.65,-16.79,223.74,-4702.4,-3756.78,-5623.65,0,-496.37,108.19,945.63,921.25,1866.88,66.8,83.62
44301.8,0.02,34.94,35.15,34.15,166.8,157.05,154.88,-16.79,223.89,-4697.64,-3760.25,-5564.33,0,-496.22,107.08,937.39,866.69,1804.08,67.58,84.42
44301.8,0.02,35.02,35.2,34.17,166.09,158.11,154.63,-16.83,223.74,-4695.62,-3766.84,-5637.08,0,-496.94,108.32,928.78,941.47,1870.24,66.82,83.3
44301.8,0.02,34.86,35,34.26,165.81,158.67,154.58,-16.79,223.54,-4687.79,-3753.97,-5537.44,0,-496.12,106.58,933.82,849.65,1783.47,67.79,84.66
44301.8,0.02,34.73,34.99,33.96,165.54,158.55,154.54,-16.8,223.33,-4659.62,-3753.2,-5663.46,0,-504.92,107.11,906.41,1003.84,1910.26,66.27,82.28
44301.8,0.02,34.84,34.92,34.17,165.71,158.62,154.37,-16.88,223.12,-4697.45,-3766.58,-5608.46,0,-496.66,107.83,930.87,911.01,1841.88,67.16,83.76
44301.8,0.02,34.72,35.05,34.26,165.64,159.17,153.99,-16.85,222.99,-4684.69,-3758.38,-5530.41,0,-495.96,106.48,926.31,845.72,1772.03,67.96,84.71
44301.8,0.02,34.89,34.98,34.29,165.88,158.12,154.61,-16.84,222.95,-4688.41,-3754.49,-5625.66,0,-496.19,108.27,933.92,937.25,1871.17,66.74,83.34
44301.8,0.02,34.73,34.78,34.28,165.59,158.66,154.54,-16.89,222.98,-4666.7,-3767.4,-5572.23,0,-496.81,107.11,899.3,905.54,1804.83,67.61,83.75
44301.8,0.02,34.93,35.14,34.24,167.1,157.92,153.95,-16.78,223.19,-4685.76,-3745.43,-5609.63,0,-496.75,107.84,940.34,923.87,1864.2,66.77,83.53
44301.8,0.02,34.95,35.23,34.35,166.61,158.33,153.84,-16.8,223.53,-4698.08,-3756.65,-5857.62,0,-514.62,108.69,941.43,1159.54,2100.97,64.13,80.2
44301.8,0.02,35.01,35.14,34.4,166.59,157.34,154.68,-16.77,223.76,-4695.65,-3751.98,-5522.18,0,-496.9,106.12,943.67,826.52,1770.2,67.94,85.03
44301.8,0.02,35,35.23,34.15,167.65,157.42,153.61,-16.78,223.89,-4691.45,-3757.5,-5606.61,0,-496.99,107.73,933.94,915.16,1849.1,67.02,83.68
44301.8,0.02,34.87,35.08,34.09,167.08,158.62,153,-16.79,223.99,-4665.66,-3762.02,-5602.97,0,-496.95,107.67,903.65,937.3,1840.95,67.14,83.27
44301.8,0.02,34.93,35.08,34.18,167.03,157.08,154.65,-16.74,223.92,-4677.94,-3748.19,-5534.28,0,-496.47,106.45,929.75,856.35,1786.09,67.73,84.53
44301.8,0.02,34.85,35.16,33.98,167.85,157.31,153.49,-16.72,223.72,-4701.98,-3742.13,-5743.19,0,-505.35,108.53,959.85,1041.22,2001.06,65.16,81.87
44301.8,0.02,34.91,35.07,34.08,167.42,157.68,153.45,-16.82,223.51,-4680.98,-3759.46,-5489.51,0,-496.32,105.62,921.52,808.54,1730.05,68.48,85.27
44301.8,0.02,35.11,34.95,33.97,167.7,155.99,155.01,-16.81,223.31,-4663.15,-3753.64,-5664.58,0,-496.41,108.97,909.51,1001.43,1910.94,66.27,82.32
44301.8,0.02,35.08,34.95,33.93,168.36,156.14,154.02,-16.78,223.15,-4688.52,-3744.94,-5543.19,0,-496.14,106.69,943.58,854.67,1798.25,67.56,84.58
44301.8,0.02,35.02,34.89,34.1,168.08,156.65,153.91,-16.83,222.97,-4675.22,-3752.6,-5663.53,0,-505.15,107.06,922.63,988.3,1910.93,66.26,82.55
44301.8,0.02,35.16,35.1,34.07,166.96,156.91,154.68,-16.86,223,-4689.13,-3760.59,-5731.62,0,-505.6,108.25,928.54,1042.49,1971.03,65.61,81.81
44301.8,0.02,35.05,34.9,34.07,167.8,156.91,154,-16.82,223.18,-4675.93,-3753.72,-5527.98,0,-496.31,106.36,922.21,852.06,1774.27,67.9,84.59
44301.8,0.02,35.06,35.09,34.38,167.86,156.9,153.61,-16.73,223.32,-4683.16,-3737.6,-5615.36,0,-496.54,107.99,945.56,932.2,1877.76,66.56,83.4
44301.8,0.02,34.97,35.11,34.26,166.42,157.96,154.34,-16.79,223.56,-4678.25,-3754.3,-5721.58,0,-514.71,106.15,923.95,1043.33,1967.28,65.62,81.76
44301.8,0.02,34.94,35.19,34.29,167.06,158.05,153.65,-16.78,223.71,-4675.88,-3755.33,-5663.14,0,-496.51,108.92,920.55,987.26,1907.81,66.31,82.57
44301.8,0.02,35.1,35.39,34.43,167.05,159.12,152.76,-16.78,223.77,-4716.39,-3755.32,-5554.4,0,-496.55,106.82,961.06,838.02,1799.08,67.61,84.91
44301.8,0.02,34.83,35.06,34.09,166.71,159.67,152.54,-16.77,223.75,-4676.41,-3752.23,-5659.87,0,-496.55,108.85,924.17,983.47,1907.64,66.3,82.62
44301.8,0.02,34.73,35.23,34.17,166.03,162,150.87,-16.8,223.63,-4675.08,-3756.88,-5532.41,0,-497.34,106.23,918.2,857.33,1775.53,67.91,84.5
44301.8,0.02,35.02,35.25,34.15,167.98,158.97,151.64,-16.74,223.55,-4678.98,-3741.85,-5769.04,0,-505.68,108.94,937.13,1090.06,2027.19,64.86,81.11
44301.8,0.02,34.82,35.08,34.21,166.94,159.75,151.82,-16.81,223.4,-4680.59,-3754.77,-5500.54,0,-497.35,105.61,925.82,819.95,1745.77,68.26,85.09
44301.8,0.02,34.52,35.42,34.03,167.37,162.11,149.56,-16.77,223.3,-4679.18,-3745.15,-5753.13,0,-506.07,108.56,934.04,1073.94,2007.98,65.1,81.33
44301.8,0.02,34.91,35.44,34.03,168.08,160.13,151.12,-16.84,223.18,-4713.55,-3759.77,-5503.33,0,-497.12,105.72,953.79,789.78,1743.56,68.32,85.65
44301.8,0.02,34.68,35.22,34.09,168.14,159.51,151.46,-16.84,223.15,-4669.26,-3757.87,-5653.19,0,-496.99,108.62,911.39,983.93,1895.33,66.47,82.6
44301.8,0.02,34.56,35.34,34.12,167.31,161.16,150.45,-16.82,223.25,-4690.09,-3755.38,-5515.44,0,-496.78,106.02,934.71,825.35,1760.06,68.09,85.04
44301.8,0.02,34.81,35.06,34.07,167.46,158.5,152.97,-16.84,223.33,-4687.07,-3762.11,-5690.06,0,-497.15,109.3,924.96,1002.99,1927.95,66.12,82.37
44301.8,0,35.08,35.49,33.72,196.52,189.46,187.8,-13.81,223.3,-5229.35,-3089.29,-5478.67,0,-496.44,105.39,2140.06,249.31,2389.37,56.39,95.45
44301.8,0.04,34.35,34.54,33.81,209.04,197.96,191.4,-19.03,224.04,-5423.6,-4265.14,-6595.82,0,-483.28,130.33,1158.46,1172.22,2330.68,64.66,82.23
44301.8,0.02,35.09,35.23,34.43,207.36,198.6,192.26,-19.5,224.61,-5612.41,-4379.62,-7089.46,0,-492.71,137.4,1232.79,1477.06,2709.84,61.78,79.17
44301.8,0.02,35.23,35.56,34.79,208.07,198.01,192.17,-19.95,225,-5734.29,-4489.97,-7062.53,0,-501.21,134.56,1244.32,1328.24,2572.56,63.57,81.19
44301.8,0.02,35.53,35.47,34.89,207.67,197.74,192.83,-19.8,225.16,-5668.52,-4458.65,-7009.18,0,-508.52,131.62,1209.88,1340.65,2550.53,63.61,80.87
44301.8,0.02,34.98,35.14,34.59,206,199.19,193.08,-19.57,225.14,-5611.34,-4406.12,-6878.56,0,-495.34,132.61,1205.23,1267.21,2472.44,64.06,81.58
44301.8,0.02,34.92,35.15,34.23,207.26,198.28,192.81,-19.52,224.57,-5569.83,-4383.61,-6959.36,0,-494.42,134.41,1186.23,1389.52,2575.75,62.99,80.03
44301.8,0.02,34.91,35.09,34.38,207.01,198.12,193.25,-19.79,223.17,-5582.93,-4417.09,-7008.59,0,-495.93,134.95,1165.84,1425.65,2591.49,63.02,79.66
44301.8,0.02,34.73,35.25,34.15,207.32,199.05,192.13,-19.91,222.11,-5586.04,-4422.39,-6929.09,0,-496.51,133.27,1163.65,1343.05,2506.7,63.82,80.62
44301.8,0.02,34.97,35.17,34.3,207.11,198.38,192.95,-20.06,221.57,-5637.29,-4444.12,-6853.62,0,-496.78,131.74,1193.17,1216.33,2409.5,64.84,82.25
44301.8,0.02,34.77,34.97,34.1,207.43,198.32,192.3,-19.88,221.44,-5596.71,-4402.65,-6974.27,0,-504.86,131.92,1194.06,1377.56,2571.62,63.13,80.25
44301.8,0.02,34.99,35.23,34.08,208.24,198.3,191.59,-19.94,221.47,-5603.71,-4417.11,-6879.12,0,-495.95,132.45,1186.59,1275.41,2462.01,64.21,81.46
44301.8,0.02,35.13,35.12,34.08,207.82,198.4,192.22,-19.93,221.65,-5626.03,-4418.78,-6973.66,0,-496.66,134.08,1207.25,1347.64,2554.89,63.36,80.68
44301.8,0.02,35.01,35.08,34.49,208.07,197.65,192.41,-19.87,221.92,-5621.69,-4410.86,-6962.67,0,-496.49,133.92,1210.83,1340.98,2551.81,63.35,80.74
44301.8,0.02,35.03,35.21,34.1,208.97,198.34,190.86,-19.83,222.5,-5614.96,-4413.16,-7016.17,0,-505.85,132.45,1201.79,1401.21,2603.01,62.9,80.03
44301.8,0.02,35.25,35.31,34.26,207.87,198.14,192.57,-19.75,223.54,-5646.95,-4415.83,-6969.11,0,-497.02,133.9,1231.12,1322.16,2553.29,63.36,81.03
44301.8,0.02,34.89,35.28,34.39,207.68,198.77,191.57,-19.63,224.78,-5592.11,-4412.46,-6900.42,0,-496.74,132.65,1179.64,1308.31,2487.95,63.94,81.04
44301.8,0.02,35.18,35.43,34.35,208.78,198.33,190.9,-19.45,225.82,-5589.65,-4391.95,-6911.39,0,-495.97,133.07,1197.7,1321.74,2519.44,63.55,80.88
44301.8,0.02,35.17,35.33,34.43,206.54,198.63,193.05,-19.49,226.34,-5620.44,-4412.46,-6951.18,0,-495.9,133.86,1207.98,1330.74,2538.72,63.48,80.86
44301.8,0.02,35.15,35.57,34.71,206.51,200.09,191.89,-19.51,226.48,-5639.89,-4420.05,-6944.37,0,-496.14,133.66,1219.85,1304.48,2524.33,63.65,81.22
44301.8,0.02,35.05,35.42,34.66,207.7,198.54,191.98,-19.46,226.41,-5632.7,-4406.97,-6898.17,0,-496.57,132.66,1225.72,1265.47,2491.2,63.89,81.66
44301.8,0.02,35.26,35.5,34.51,206.27,200.07,191.93,-19.6,226.02,-5634.74,-4431.12,-6949.96,0,-496.23,133.74,1203.62,1315.22,2518.84,63.76,81.08
44301.8,0.02,34.77,35.52,34.56,206.87,201.15,190.29,-19.68,224.37,-5644.65,-4416.99,-6897.36,0,-496.56,132.64,1227.66,1252.71,2480.37,64.04,81.84
44301.8,0.02,34.83,35.19,34.35,206.47,199.43,192.83,-20,222.34,-5646.41,-4447.87,-7001.24,0,-497.31,134.44,1198.54,1354.83,2553.37,63.53,80.65
44301.8,0.02,34.58,35.35,34.13,207.26,200.62,190.52,-19.97,221.33,-5598.49,-4420.89,-6920.13,0,-496.65,133.06,1177.6,1321.63,2499.24,63.88,80.9
44301.8,0.02,34.54,35.22,34.28,206.24,201.89,190.26,-20.03,221.03,-5614.4,-4427.63,-6891.19,0,-496.94,132.42,1186.77,1276.79,2463.55,64.25,81.47
44301.8,0.02,34.7,35.13,34.24,207.2,199.82,191.4,-20.04,221.04,-5626.63,-4430.26,-6954.85,0,-496.33,133.81,1196.37,1328.22,2524.59,63.7,80.9
44301.8,0.02,34.48,35.22,34.39,207.64,200.94,189.83,-20.03,221.21,-5603.83,-4430.88,-6799.31,0,-496.86,130.68,1172.95,1195.48,2368.43,65.17,82.42
44301.8,0.02,34.59,35.2,34.23,207.37,200.41,190.84,-20.01,221.51,-5596.67,-4432.36,-7060.9,0,-497.37,135.57,1164.31,1464.23,2628.54,62.77,79.26
44301.8,0.02,34.69,35.09,34.19,207.27,198.9,192.02,-19.92,222.1,-5616.68,-4424.13,-6940.02,0,-497.42,133.23,1192.55,1323.34,2515.89,63.75,80.93
44301.8,0.02,34.62,35.48,34.4,208.34,199.51,191.28,-19.8,223.31,-5637.59,-4422.35,-6862.28,0,-497.21,131.79,1215.23,1224.7,2439.93,64.44,82.15
44301.8,0.02,34.89,35.43,34.64,207.58,198.19,193.26,-19.65,224.94,-5637.82,-4421.05,-7033.25,0,-497.82,134.91,1216.78,1395.42,2612.2,62.86,80.16
44301.8,0.02,35.05,35.47,34.75,207.51,197.81,192.75,-19.53,226.21,-5639.94,-4418.67,-7023.86,0,-498.02,134.68,1221.27,1383.92,2605.19,62.91,80.3
44301.8,0.02,35.23,35.67,34.81,207.53,197.68,192.91,-19.43,226.95,-5624.46,-4411,-6834.42,0,-497.56,131.17,1213.46,1209.96,2423.42,64.54,82.3
44301.8,0.02,35.4,35.54,34.67,207.92,196.45,193.72,-19.43,227.09,-5657.02,-4412.57,-6897.94,0,-497.12,132.51,1244.45,1240.92,2485.37,63.97,82.01
44301.8,0.02,35.26,35.54,34.85,207.33,197.12,193.55,-19.46,227,-5660.36,-4417,-7032,0,-497.2,135.06,1243.35,1371.64,2615,62.81,80.49
44301.8,0.02,35.09,35.38,34.71,207.79,196.24,194.09,-19.55,226.36,-5587.39,-4426.19,-7279.65,0,-523.8,132.71,1161.21,1692.26,2853.47,60.8,76.75
44301.8,0.02,35.02,35.06,34.45,207.89,196.29,193.98,-19.79,224.2,-5590.16,-4436.88,-6758.44,0,-496.75,129.92,1153.29,1168.28,2321.56,65.65,82.71
